feature,mean_abs_shap
orig_balance_mismatch,1.2389772113956485
hour_of_day,0.8297958465174143
balance_diff_orig,0.6715307016138916
amount_over_origin_mean_train,0.5169592266923572
type_TRANSFER,0.4688070095092345
type_CASH_OUT,0.34330080950445385
missing_dest_balance,0.24612364796916747
dest_amount_mean_train,0.23695593834352457
dest_tx_count_train,0.2324006446664572
is_dest_merchant,0.21806334333500094
balance_diff_dest,0.206683525576001
log_amount,0.1723577636800054
is_moving_in,0.16983699523953594
dest_unique_senders_train,0.1647987329671041
type_PAYMENT,0.15563143975190893
origin_amount_mean_train,0.12295794472043503
is_moving_out,0.06458823619756737
dest_balance_mismatch,0.04857382474794342
type_CASH_IN,0.02719825945815568
frac_orig_spent,0.025219936693909185
